summary;start;end;duration
AI;03-01-2023 09:00:00;03-01-2023 13:00:00;4,0
AI;03-01-2023 14:00:00;03-01-2023 17:30:00;3,5
AI;03-01-2023 17:30:00;03-01-2023 20:00:00;2,5
IKA;04-01-2023 10:00:00;04-01-2023 11:00:00;1,0
IKA;04-01-2023 12:00:00;04-01-2023 13:45:00;1,75
AI;04-01-2023 13:45:00;04-01-2023 17:00:00;3,25
AI;04-01-2023 09:00:00;04-01-2023 10:00:00;1,0
AI;05-01-2023 09:15:00;05-01-2023 12:00:00;2,75
IKA;05-01-2023 12:00:00;05-01-2023 13:00:00;1,0
Zeiss;05-01-2023 13:45:00;05-01-2023 17:00:00;3,25
